gid,objectid,loc_name,status,score,match_type,match_addr,longlabel,shortlabel,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,addrange,side,stpredir,stpretype,stname,sttype,stdir,bldgtype,bldgname,leveltype,levelname,unittype,unitname,subaddr,staddr,block,sector,nbrhd,district,city,metroarea,subregion,region,regionabbr,territory,zone,postal,postalext,country,cntryname,langcode,distance,x,y,displayx,displayy,__xmin,__xmax,ymin,ymax,exinfo,arc_single,id,loannumber,borrowerna,borrowerad,borrowerci,borrowerst,borrowerzi,loanstatus,loanstat_1,initialapp,currentapp,currenta_1,servicingl,hubzoneind,businessag,jobsreport,naicscode,lmiindicat,businessty,forgivenes,forgiven_1,full_addre,geom
11,11,World,M,100,A,"780 E 134th St, Bronx, New York, 10454","780 E 134th St, Bronx, NY, 10454, USA",780 E 134th St,PointAddress,NULL,NULL,"780 E 134th St, Bronx, New York, 10454",NULL,NULL,20,NULL,780,NULL,NULL,NULL,NULL,E,NULL,134th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,780 E 134th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3527,USA,United States,ENG,0,-73.91279206,40.80134743,-73.91279206,40.80134743,-73.91379206,-73.91179206,40.80034743,40.80234743,NULL,"780 E.134 St. 2 floor Bronx, NY",376154,1405137306,"INNOVA INTERIORS, INC.",780 E.134 St. 2 floor,Bronx,NY,10454,11/19/21,Paid in Full,129700,129700,129700,"Citibank, N.A.",Y,Existing or more than 2 years old,14,321999,Y,Subchapter S Corporation,131569.84,10/15/21,"780 E.134 St. 2 floor Bronx, NY",0101000020E6100000D4F4662F6B7A52C030CD7E8D92664440
12,12,World,M,100,A,"541 Barretto St, Bronx, New York, 10474","541 Barretto St, Bronx, NY, 10474, USA",541 Barretto St,PointAddress,NULL,NULL,"541 Barretto St, Bronx, New York, 10474",NULL,NULL,20,NULL,541,NULL,NULL,NULL,NULL,NULL,NULL,Barretto,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,541 Barretto St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6724,USA,United States,ENG,0,-73.88861295,40.8111818,-73.88861295,40.8111818,-73.88961295,-73.88761295,40.8101818,40.8121818,NULL,"541 Barretto Street Bronx, NY",376855,4377457706,SA MF ENTERPRISES INC-SBA SMALL 7A TERM,541 Barretto Street,Bronx,NY,10474-6724,7/22/21,Paid in Full,131570,128500,128500,"TD Bank, National Association",N,Existing or more than 2 years old,14,0,Y,Corporation,129909.93,6/11/21,"541 Barretto Street Bronx, NY",0101000020E6100000BCF1DE08DF7852C0B8CF18CED4674440
13,13,World,T,75,A,"Bronx, New York","Bronx, NY, USA",Bronx,Locality,City,Bronx,"Bronx, New York",NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,NULL,NULL,USA,United States,ENG,0,-73.92309,40.826,-73.92309,40.826,-73.93309,-73.91309,40.816,40.836,234 ROW B HUNTS POINT TERMINAL MARKET,"234 Row B Hunts Point Terminal Market Bronx, NY",378046,2427397309,BEST TROPICAL,234 Row B Hunts Point Terminal Market,Bronx,NY,10474,10/20/21,Paid in Full,126442,126442,126442,Signature Bank,N,Existing or more than 2 years old,13,424480,Y,Corporation,128167.15,9/15/21,"234 Row B Hunts Point Terminal Market Bronx, NY",0101000020E6100000EC5014E8137B52C0883F355EBA694440
14,14,World,M,100,A,"811 Walton Ave, Bronx, New York, 10451","811 Walton Ave, Bronx, NY, 10451, USA",811 Walton Ave,PointAddress,NULL,NULL,"811 Walton Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,811,NULL,NULL,NULL,NULL,NULL,NULL,Walton,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,811 Walton Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,2314,USA,United States,ENG,0,-73.92540021,40.82536536,-73.92540021,40.82536536,-73.92640021,-73.92440021,40.82436536,40.82636536,NULL,"811 Walton Ave Apt A19 Bronx, NY",378326,9386578610,ANDREA VANEGAS BEAUTY LLL,811 Walton Ave Apt A19,Bronx,NY,10451-2321,12/7/21,Paid in Full,125971,125971,125971,Lower East Side People's FCU,Y,Existing or more than 2 years old,5,812112,N,Single Member LLC,126691.63,10/27/21,"811 Walton Ave Apt A19 Bronx, NY",0101000020E610000074F6C8C1397B52C058D37292A5694440
15,15,World,M,100,A,"555 Longfellow Ave, Bronx, New York, 10474","555 Longfellow Ave, Bronx, NY, 10474, USA",555 Longfellow Ave,PointAddress,NULL,NULL,"555 Longfellow Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,555,NULL,NULL,NULL,NULL,NULL,NULL,Longfellow,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,555 Longfellow Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6913,USA,United States,ENG,0,-73.88400978,40.81187636,-73.88400978,40.81187636,-73.88500978,-73.88300978,40.81087636,40.81287636,NULL,"555 Longfellow Ave. Bronx, NY",378870,4947667310,"RIGGING CONSULTANTS, INC",555 Longfellow Ave.,Bronx,NY,10474,4/17/21,Paid in Full,125045,125045,125045,"Santander Bank, National Association",Y,Existing or more than 2 years old,10,238910,Y,Corporation,126137.86,3/24/21,"555 Longfellow Ave. Bronx, NY",0101000020E610000028F1C29D937852C0D8CF8A90EB674440
17,17,World,M,100,A,"800 Food Center Dr, Bronx, New York, 10474","800 Food Center Dr, Bronx, NY, 10474, USA",800 Food Center Dr,PointAddress,NULL,NULL,"800 Food Center Dr, Bronx, New York, 10474",NULL,NULL,20,NULL,800,NULL,NULL,NULL,NULL,NULL,NULL,Food Center,Dr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,800 Food Center Dr,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,15,USA,United States,ENG,0,-73.8764348,40.80423123,-73.8764348,40.80423123,-73.8774348,-73.8754348,40.80323123,40.80523123,NULL,"800 Food Center Drive, Unit 56 Bronx, NY",378964,2188837301,J & K SEAFOOD INC,"800 Food Center Drive, Unit 56",Bronx,NY,10474,8/11/21,Paid in Full,136400,125000,125000,"Capital One, National Association",Y,Existing or more than 2 years old,5,424460,Y,Corporation,126465.28,7/15/21,"800 Food Center Drive, Unit 56 Bronx, NY",0101000020E610000030F00082177852C0E0CD820CF1664440
18,18,World,M,100,A,"1351 E Bay Ave, Bronx, New York, 10474","1351 E Bay Ave, Bronx, NY, 10474, USA",1351 E Bay Ave,PointAddress,NULL,NULL,"1351 E Bay Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1351,NULL,NULL,NULL,NULL,E,NULL,Bay,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1351 E Bay Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,7025,USA,United States,ENG,0,-73.88227934,40.80928505,-73.88227934,40.80928505,-73.88327934,-73.88127934,40.80828505,40.81028505,NULL,"1351 E Bay Ave Bronx, NY",379653,8145168501,NORTHSIDE INDUSTRIES LLC,1351 E Bay Ave,Bronx,NY,10474-7025,5/25/22,Paid in Full,124345,124345,124345,Loan Source Incorporated,Y,Existing or more than 2 years old,9,484220,Y,Limited  Liability Company(LLC),125734.94,4/28/22,"1351 E Bay Ave Bronx, NY",0101000020E6100000F0F0C043777852C038CF14A796674440
19,19,World,M,100,A,"237 Willis Ave, Bronx, New York, 10454","237 Willis Ave, Bronx, NY, 10454, USA",237 Willis Ave,PointAddress,NULL,NULL,"237 Willis Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,237,NULL,NULL,NULL,NULL,NULL,NULL,Willis,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237 Willis Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,2678,USA,United States,ENG,0,-73.92290827,40.80942679,-73.92290827,40.80942679,-73.92390827,-73.92190827,40.80842679,40.81042679,NULL,"237 Willis Avenue Bronx, NY",380231,4867087302,ADVANCED BRONX DENTAL PLLC,237 Willis Avenue,Bronx,NY,10454,3/18/22,Paid in Full,123414,123414,123414,Customers Bank,Y,Existing or more than 2 years old,25,621210,Y,Corporation,125290.57,11/17/21,"237 Willis Avenue Bronx, NY",0101000020E61000001CF6D4ED107B52C048CF104C9B674440
20,20,World,M,100,A,"142 E 170th St, Bronx, New York, 10452","142 E 170th St, Bronx, NY, 10452, USA",142 E 170th St,PointAddress,NULL,NULL,"142 E 170th St, Bronx, New York, 10452",NULL,NULL,20,NULL,142,NULL,NULL,NULL,NULL,E,NULL,170th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142 E 170th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,7021,USA,United States,ENG,0,-73.91479375,40.83893679,-73.91479375,40.83893679,-73.91579375,-73.91379375,40.83793679,40.83993679,NULL,"142 E 170 Street Bronx, NY",380926,7737667109,BRIGHT PHARMA INC.,142 E 170 Street,Bronx,NY,10452,7/15/21,Paid in Full,122400,122400,122400,Live Oak Banking Company,Y,Existing or more than 2 years old,14,446110,Y,Corporation,123791.67,6/9/21,"142 E 170 Street Bronx, NY",0101000020E610000018F510FB8B7A52C0C0D6E047626B4440
21,21,World,M,100,A,"79 Alexander Ave, Bronx, New York, 10454","79 Alexander Ave, Bronx, NY, 10454, USA",79 Alexander Ave,PointAddress,NULL,NULL,"79 Alexander Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,79,NULL,NULL,NULL,NULL,NULL,NULL,Alexander,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79 Alexander Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4409,USA,United States,ENG,0,-73.92805777,40.80638311,-73.92805777,40.80638311,-73.92905777,-73.92705777,40.80538311,40.80738311,NULL,"79 Alexander Avenue Bronx, NY",380999,9065877206,CHELSEA CONSTRUCTION GROUP LLC,79 Alexander Avenue,Bronx,NY,10454,5/12/21,Paid in Full,120000,122300,122300,Hudson Valley CU,Y,Existing or more than 2 years old,6,236117,Y,Limited  Liability Company(LLC),123382.27,4/12/21,"79 Alexander Avenue Bronx, NY",0101000020E6100000C4F66C4C657B52C080CED68F37674440
22,22,World,M,100,A,"169 Lincoln Ave, Bronx, New York, 10454","169 Lincoln Ave, Bronx, NY, 10454, USA",169 Lincoln Ave,PointAddress,NULL,NULL,"169 Lincoln Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,169,NULL,NULL,NULL,NULL,NULL,NULL,Lincoln,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,169 Lincoln Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3730,USA,United States,ENG,0,-73.92860947,40.80930769,-73.92860947,40.80930769,-73.92960947,-73.92760947,40.80830769,40.81030769,NULL,"169 Lincoln Ave Bronx, NY",381914,6223827205,WASH AND SHINE CAR WASH INC.,169 Lincoln Ave,Bronx,NY,10454-3730,12/18/21,Paid in Full,120865,120865,120865,Ponce Bank,Y,Existing or more than 2 years old,25,811192,Y,Corporation,122719.82,11/17/21,"169 Lincoln Ave Bronx, NY",0101000020E6100000D8F668566E7B52C038CFEC6497674440
23,23,World,M,100,A,"523 Longfellow Ave, Bronx, New York, 10474","523 Longfellow Ave, Bronx, NY, 10474, USA",523 Longfellow Ave,PointAddress,NULL,NULL,"523 Longfellow Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,523,NULL,NULL,NULL,NULL,NULL,NULL,Longfellow,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,523 Longfellow Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6913,USA,United States,ENG,0,-73.88389369,40.81143937,-73.88389369,40.81143937,-73.88489369,-73.88289369,40.81043937,40.81243937,NULL,"523 Longfellow Ave Bronx, NY",382979,7208297709,INTEGRITY ELECTRIC CORP,523 Longfellow Ave,Bronx,NY,10474,9/24/21,Paid in Full,119500,119500,119500,"Citibank, N.A.",Y,Existing or more than 2 years old,12,999990,Y,Subchapter S Corporation,120980.47,8/2/21,"523 Longfellow Ave Bronx, NY",0101000020E610000020F1D8B6917852C0C0CFCC3EDD674440
24,24,World,M,100,A,"128 E Clarke Pl, Bronx, New York, 10452","128 E Clarke Pl, Bronx, NY, 10452, USA",128 E Clarke Pl,PointAddress,NULL,NULL,"128 E Clarke Pl, Bronx, New York, 10452",NULL,NULL,20,NULL,128,NULL,NULL,NULL,NULL,E,NULL,Clarke,Pl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128 E Clarke Pl,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,7672,USA,United States,ENG,0,-73.91636946,40.83724805,-73.91636946,40.83724805,-73.91736946,-73.91536946,40.83624805,40.83824805,NULL,"128 E Clarke Pl Apt 4G Bronx, NY",385628,3597178905,PETERSON MERCHANDISE DISCOUNT INCORPARATED,128 E Clarke Pl Apt 4G,Bronx,NY,10452-7606,7/15/22,Paid in Full,115617,115617,115617,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,7,448140,Y,Corporation,116866.5,6/2/22,"128 E Clarke Pl Apt 4G Bronx, NY",0101000020E61000004CF516CCA57A52C058D6AAF12A6B4440
25,25,World,M,100,A,"250 Willis Ave, Bronx, New York, 10454","250 Willis Ave, Bronx, NY, 10454, USA",250 Willis Ave,PointAddress,NULL,NULL,"250 Willis Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,250,NULL,NULL,NULL,NULL,NULL,NULL,Willis,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250 Willis Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,2612,USA,United States,ENG,0,-73.92261557,40.80918309,-73.92261557,40.80918309,-73.92361557,-73.92161557,40.80818309,40.81018309,NULL,"250 Willis Ave Bronx, NY",385834,4471798804,WILL GROCERY & MEAT INC.,250 Willis Ave,Bronx,NY,10454-2612,10/20/21,Paid in Full,115327,115327,115327,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,30,445110,Y,Corporation,115810.48,9/21/21,"250 Willis Ave Bronx, NY",0101000020E610000010F62C220C7B52C030CFBA4F93674440
26,26,World,M,99.17,A,"945 Summit Ave, Bronx, New York, 10452","945 Summit Ave, Bronx, NY, 10452, USA",945 Summit Ave,PointAddress,NULL,NULL,"945 Summit Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,945,NULL,NULL,NULL,NULL,NULL,NULL,Summit,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,945 Summit Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,5001,USA,United States,ENG,0,-73.93134775,40.83219518,-73.93134775,40.83219518,-73.93234775,-73.93034775,40.83119518,40.83319518,0 0,"945 Summit Avenue 0.0 Bronx, NY",385885,7333187100,TUCK IT AWAY ASSOCIATES LTD,945 Summit Avenue 0.0,Bronx,NY,10452-5001,5/21/21,Paid in Full,115267,115267,115267,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,8,531130,Y,Subchapter S Corporation,116396.62,4/12/21,"945 Summit Avenue 0.0 Bronx, NY",0101000020E610000038F79A339B7B52C008D52E5F856A4440
